0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/4/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/5/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/3/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/6/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/8/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/7/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/9/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/APP/global/0/legacy/10/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/deferredjs/CA4FB287204AE1F890BE4F774E07EE29/8.cache.js HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 200 22660
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Semibold-webfont.woff HTTP/1.1" 200 22908
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:31 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/deferredjs/CA4FB287204AE1F890BE4F774E07EE29/2.cache.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:22:36 +0200] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:27:21 +0200] "POST /configurator/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:27:31 +0200] "POST /configurator/HEARTBEAT/?v-uiId=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:29:55 +0200] "POST /configurator/UIDL/?v-uiId=0 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:21 +0200] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:21 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1523780550740 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:21 +0200] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1523781021762 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:21 +0200] "POST /configurator/?v-1523781021771 HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/12/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/11/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/13/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/15/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/14/Training_Support.jpg HTTP/1.1" 200 703392
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/16/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/17/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/20/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/18/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/21/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "GET /configurator/APP/global/1/legacy/19/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:22 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [15/Apr/2018:10:30:24 +0200] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 157
