0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/APP/global/1/legacy/11/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:30 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:31 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:31 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:31 +0100] "POST /configurator/UIDL/?v-uiId=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/ HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/AppWidgetset.nocache.js?1518017792714 HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "POST /configurator/?v-1518017792720 HTTP/1.1" 200 9756
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/widgetsets/AppWidgetset/CA4FB287204AE1F890BE4F774E07EE29.cache.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:32 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/22/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/26/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/24/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/21/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/23/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/25/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/29/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/20/crossfit.jpeg HTTP/1.1" 200 91346
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/28/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/APP/global/2/legacy/27/instagram.png HTTP/1.1" 200 8365
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "POST /configurator/UIDL/?v-uiId=2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:33 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:35 +0100] "POST /configurator/UIDL/?v-uiId=2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [07/Feb/2018:16:36:35 +0100] "POST /configurator/UIDL/?v-uiId=2 HTTP/1.1" 200 158
