127.0.0.1 - - [06/Dec/2017:20:56:08 +0100] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/ HTTP/1.1" 200 2184
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/vaadinBootstrap.js?v=8.1.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/themes/mytheme/styles.css?v=8.1.3 HTTP/1.1" 200 344937
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/widgetsets/com.vaadin.DefaultWidgetSet/com.vaadin.DefaultWidgetSet.nocache.js?1512590170170 HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/themes/valo/shared/img/spinner.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/widgetsets/com.vaadin.DefaultWidgetSet/51798D550BBF79F203F30F9804618574.cache.js HTTP/1.1" 200 339580
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:10 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Light-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "POST /configurator/?v-1512590170172 HTTP/1.1" 200 9268
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/1/logo_yellow_blue_medium.png HTTP/1.1" 200 35298
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/0/sortiment.png HTTP/1.1" 200 10885
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/2/nutrition.jpg HTTP/1.1" 200 74942
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/4/search.png HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/5/account.png HTTP/1.1" 200 5690
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/8/twitter.png HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/9/shoppingcart.png HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/7/facebook.png HTTP/1.1" 200 3753
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/VAADIN/themes/valo/fonts/open-sans/OpenSans-Regular-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/6/vimeo.png HTTP/1.1" 200 6303
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:56:11 +0100] "GET /configurator/APP/global/0/legacy/3/crossfit.jpeg HTTP/1.1" 200 91346
